published,course_id,course_title,url,is_paid,price,num_subscribers,num_reviews,num_lectures,level,content_duration,subject,published,year,quarter,month,profit,content_duration_cat,price_cat
2015-05-11,488818,QuickBooks 2015 Training for Newbies,https://www.udemy.com/free-training-quickbooks-2015/,True,200,2506,21,76,Beginner Level,6.0,Business Finance,2015-05-11,2015,2,May,501200,3 : 7,170:200
2015-09-30,610890,TRADING PSYCHOLOGY: Trading Mindset Mastery,https://www.udemy.com/trading-psychology-trading-mindset-mastery/,True,120,975,23,23,Intermediate Level,1.0,Business Finance,2015-09-30,2015,3,September,117000,0 : 1,110:140
2015-10-19,638980,Option Trading: How to Adjust Delta-Neutral Strangles!,https://www.udemy.com/option-trading-selling-strangles/,True,145,1398,15,26,All Levels,1.5,Business Finance,2015-10-19,2015,4,October,202710,1 : 3,140:170
2015-10-29,599684,Profitable binary option trading strategy,https://www.udemy.com/binaryoptions/,True,195,1096,24,24,All Levels,1.5,Business Finance,2015-10-29,2015,4,October,213720,1 : 3,170:200
2014-11-04,332848,Tax Strategy: Financial Planning for Beginners,https://www.udemy.com/taxsavingstrategy/,True,200,1703,59,25,All Levels,2.0,Business Finance,2014-11-04,2014,4,November,340600,1 : 3,170:200
2014-12-09,354324,Accounting 2 Simplified for You,https://www.udemy.com/accounting-2-simplified-for-you/,True,45,1446,23,27,Beginner Level,5.0,Business Finance,2014-12-09,2014,4,December,65070,3 : 7,20:50
2014-12-29,379682,Project Funding Modelling (for Professionals),https://www.udemy.com/project-funding-modelling/,True,20,2736,3,8,All Levels,1.5,Business Finance,2014-12-29,2014,4,December,54720,1 : 3,1:20
2014-12-11,319020,Investing: How I Consistently Beat The Stock Market,https://www.udemy.com/beat-the-stock-market/,True,200,2000,31,34,All Levels,4.5,Business Finance,2014-12-11,2014,4,December,400000,3 : 7,170:200
2016-11-06,713258,Bookkeeping Basics:  Understand the Fundamentals,https://www.udemy.com/bookkeeping-basics/,True,75,853,45,48,Beginner Level,4.5,Business Finance,2016-11-06,2016,4,November,63975,3 : 7,50:80
2015-07-17,537884,Leasing - A Comprehensive Study (Professional Course Level),https://www.udemy.com/leasing-a-comprehensive-study/,True,20,3094,2,22,All Levels,3.5,Business Finance,2015-07-17,2015,3,July,61880,3 : 7,1:20
